id,full_name,mail,tel,date_naissance,adresse,numero_contrat,type_contrat,annee_inscription,prime_annuelle,profession,situation_familiale,kpi_score,sentiment
12,Asma Mejri,client12@mail.tn,+21661987737,1988-09-15,"142 Rue 15, La Marsa",STAR-000012,RC,2002,373.53,ENSEIGNANT,MARIE,48,NEUTRE
13,Ali Boughanmi,client13@mail.tn,+21668935169,1981-02-17,"147 Rue 37, Zaghouan",STAR-000013,AUTO,2015,845.56,INGENIEUR,CELIBATAIRE,80,POSITIF
14,Sirine Hamdi,client14@mail.tn,+21692833230,1966-11-14,"104 Rue 47, Tunis",STAR-000014,VOYAGE,2014,411.79,ETUDIANT,MARIE,44,NEUTRE
15,Sami Dridi,client15@mail.tn,+21691247595,1994-08-05,"141 Rue 7, Manouba",STAR-000015,SANTE,2014,1040.37,INGENIEUR,MARIE,76,POSITIF
16,Zied Rekik,client16@mail.tn,+21698633773,1970-07-16,"1 Rue 25, Nabeul",STAR-000016,SANTE,2012,1112.99,ETUDIANT,CELIBATAIRE,67,NEUTRE
17,Rim Bouaziz,client17@mail.tn,+21699436429,1969-04-10,"81 Rue 4, Zaghouan",STAR-000017,AUTO,2018,1949.93,RETRAITE,MARIE,65,NEUTRE
18,Ahmed Elloumi,client18@mail.tn,+21698033426,1965-03-03,"64 Rue 38, La Marsa",STAR-000018,HABITATION,2007,1271.84,COMMERCANT,MARIE,88,POSITIF
19,Hela Fehri,client19@mail.tn,+21662677407,1973-11-23,"81 Rue 49, Manouba",STAR-000019,VOYAGE,2012,319.34,CHAUFFEUR,DIVORCE,31,NEGATIF
20,Maher Turki,client20@mail.tn,+21699874152,1992-05-05,"113 Rue 35, Sousse",STAR-000020,VOYAGE,2007,640.43,ENSEIGNANT,DIVORCE,55,NEUTRE
21,Wissem Zouari,client21@mail.tn,+21694415796,2002-02-05,"73 Rue 39, Bizerte",STAR-000021,VOYAGE,2003,257.71,RETRAITE,CELIBATAIRE,42,NEUTRE
22,Nadia Bouaziz,client22@mail.tn,+21668412769,1976-01-03,"198 Rue 9, Ariana",STAR-000022,VIE,2008,4253.24,ETUDIANT,MARIE,100,POSITIF
23,Sabrine Ben Ali,client23@mail.tn,+21661669324,1967-02-23,"33 Rue 3, Nabeul",STAR-000023,AUTO,2011,1272.94,INFORMATICIEN,CELIBATAIRE,79,POSITIF
24,Sirine Rekik,client24@mail.tn,+21666573147,2002-02-12,"42 Rue 12, Monastir",STAR-000024,HABITATION,2013,4536.54,INFORMATICIEN,CELIBATAIRE,98,POSITIF
25,Manel Rekik,client25@mail.tn,+21694818418,1977-03-26,"118 Rue 23, Monastir",STAR-000025,VIE,2001,2202.62,AUTRE,CELIBATAIRE,100,POSITIF
26,Mohamed Dridi,client26@mail.tn,+21665382463,1985-06-09,"138 Rue 22, Hammam-Lif",STAR-000026,RC,2008,876.82,ENSEIGNANT,VEUF,48,NEUTRE
27,Bassem Fehri,client27@mail.tn,+21668315831,1962-02-20,"148 Rue 13, Nabeul",STAR-000027,SANTE,2010,1429.65,COMMERCANT,MARIE,80,POSITIF
28,Hatem Dridi,client28@mail.tn,+21696472441,1983-07-03,"77 Rue 33, Zaghouan",STAR-000028,VIE,2019,7485.01,ENSEIGNANT,MARIE,100,POSITIF
29,Yosra Nasri,client29@mail.tn,+21668212326,1995-03-07,"141 Rue 1, Nabeul",STAR-000029,SANTE,2012,2195.83,CHAUFFEUR,DIVORCE,73,POSITIF
30,Wafa Mzoughi,client30@mail.tn,+21664940441,1988-11-07,"132 Rue 43, Bizerte",STAR-000030,HABITATION,2023,2892.74,CHAUFFEUR,MARIE,64,NEUTRE
31,Mariem Dridi,client31@mail.tn,+21697442089,1969-01-02,"162 Rue 37, Nabeul",STAR-000031,AUTO,2019,1974.3,EMPLOYE,VEUF,58,NEUTRE
32,Asma Rekik,client32@mail.tn,+21665180853,1969-11-23,"46 Rue 45, Monastir",STAR-000032,RC,2024,824.86,EMPLOYE,VEUF,35,NEGATIF
33,Fares Saidi,client33@mail.tn,+21665147994,1989-11-17,"115 Rue 11, Ben Arous",STAR-000033,HABITATION,2024,3381.81,AUTRE,VEUF,69,NEUTRE
34,Chiraz Hajlaoui,client34@mail.tn,+21664879923,1991-11-08,"86 Rue 21, Bizerte",STAR-000034,VOYAGE,2022,419.94,MEDECIN,CELIBATAIRE,22,NEGATIF
35,Yosra Gharbi,client35@mail.tn,+21691327691,2005-04-03,"53 Rue 27, Tunis",STAR-000035,SANTE,2017,1578.24,AUTRE,VEUF,54,NEUTRE
36,Leila Ben Ali,client36@mail.tn,+21667523941,1982-05-25,"57 Rue 18, Manouba",STAR-000036,SANTE,2013,2648.28,RETRAITE,CELIBATAIRE,89,POSITIF
37,Salma Bardi,client37@mail.tn,+21694048907,1970-08-05,"165 Rue 28, Sfax",STAR-000037,HABITATION,2012,3136.49,INFORMATICIEN,MARIE,99,POSITIF
38,Amine Ouali,client38@mail.tn,+21691873851,1980-04-15,"21 Rue 31, Bizerte",STAR-000038,VOYAGE,2012,368.75,MEDECIN,VEUF,37,NEGATIF
39,Mariem Mansour,client39@mail.tn,+21694656838,2001-01-25,"33 Rue 31, Monastir",STAR-000039,RC,2006,864.73,ETUDIANT,CELIBATAIRE,32,NEGATIF
40,Yosra Fehri,client40@mail.tn,+21697296605,1983-03-20,"28 Rue 38, Bizerte",STAR-000040,HABITATION,2022,4854.94,EMPLOYE,CELIBATAIRE,67,NEUTRE
41,Yosra Dridi,client41@mail.tn,+21697217147,1964-10-23,"145 Rue 3, Mateur",STAR-000041,VIE,2022,3078.52,MEDECIN,MARIE,91,POSITIF
42,Hatem Abidi,client42@mail.tn,+21695531230,1960-07-27,"46 Rue 47, Nabeul",STAR-000042,SANTE,2011,853.29,AUTRE,CELIBATAIRE,83,POSITIF
43,Wafa Laabidi,client43@mail.tn,+21669293086,1997-05-11,"193 Rue 30, Monastir",STAR-000043,AUTO,2002,1729.17,MEDECIN,VEUF,84,POSITIF
44,Rania Bouaziz,client44@mail.tn,+21699196976,1973-06-26,"49 Rue 6, Ben Arous",STAR-000044,VOYAGE,2019,370.17,MEDECIN,MARIE,50,NEUTRE
45,Aymen Gargouri,client45@mail.tn,+21697191135,2001-12-16,"178 Rue 16, Nabeul",STAR-000045,SANTE,2002,2503.04,MEDECIN,CELIBATAIRE,89,POSITIF
46,Sabrine Hajlaoui,client46@mail.tn,+21696294016,1982-07-24,"65 Rue 15, Bizerte",STAR-000046,HABITATION,2022,2323.17,AUTRE,DIVORCE,60,NEUTRE
47,Mehdi Ayari,client47@mail.tn,+21666071208,1972-04-24,"50 Rue 19, Sfax",STAR-000047,SANTE,2018,1263.6,RETRAITE,DIVORCE,71,POSITIF
48,Aymen Saidi,client48@mail.tn,+21666716097,1977-01-02,"147 Rue 19, Tunis",STAR-000048,HABITATION,2004,2168.55,AUTRE,MARIE,100,POSITIF
49,Ahmed Fehri,client49@mail.tn,+21665163953,1990-02-27,"39 Rue 37, Sousse",STAR-000049,RC,2002,480.5,INFORMATICIEN,MARIE,54,NEUTRE
50,Maher Chebbi,client50@mail.tn,+21662010496,1998-10-26,"77 Rue 38, Manouba",STAR-000050,HABITATION,2016,1902.75,COMMERCANT,VEUF,70,POSITIF
51,Skander Turki,client51@mail.tn,+21698883823,2000-04-09,"1 Rue 27, Sousse",STAR-000051,VIE,2007,2027.72,CHAUFFEUR,MARIE,93,POSITIF
52,Amira Khalsi,client52@mail.tn,+21664771676,1978-12-10,"161 Rue 38, Mateur",STAR-000052,VIE,2002,7087.44,INGENIEUR,DIVORCE,100,POSITIF
53,Zied Belhaj,client53@mail.tn,+21695567533,1969-02-02,"32 Rue 30, Manouba",STAR-000053,AUTO,2019,1668.21,INFORMATICIEN,DIVORCE,72,POSITIF
54,Wafa Jebali,client54@mail.tn,+21695521644,1998-01-14,"173 Rue 37, Monastir",STAR-000054,VIE,2008,3595.09,ETUDIANT,MARIE,89,POSITIF
55,Skander Ayari,client55@mail.tn,+21666591986,1990-09-21,"126 Rue 6, Hammam-Lif",STAR-000055,SANTE,2005,2798.57,INFORMATICIEN,VEUF,100,POSITIF
56,Salma Hamdi,client56@mail.tn,+21667780932,1970-06-14,"23 Rue 21, Manouba",STAR-000056,VIE,2021,4720.55,COMMERCANT,MARIE,90,POSITIF
57,Wissem Tlili,client57@mail.tn,+21695832327,1986-01-07,"14 Rue 14, Mateur",STAR-000057,HABITATION,2024,2447.12,AUTRE,VEUF,62,NEUTRE
58,Afef Bouaziz,client58@mail.tn,+21662903561,1967-01-21,"4 Rue 36, Ben Arous",STAR-000058,HABITATION,2022,4197.25,CHAUFFEUR,DIVORCE,77,POSITIF
59,Ines Gharbi,client59@mail.tn,+21669526867,1991-12-10,"117 Rue 36, Monastir",STAR-000059,HABITATION,2013,3821.65,AUTRE,VEUF,78,POSITIF
60,Ridha Mansour,client60@mail.tn,+21698491822,1977-07-11,"149 Rue 43, La Marsa",STAR-000060,HABITATION,2000,2068.69,MEDECIN,DIVORCE,100,POSITIF
61,Houda Abidi,client61@mail.tn,+21668935224,1995-09-13,"199 Rue 27, Monastir",STAR-000061,SANTE,2006,2838.85,INGENIEUR,VEUF,88,POSITIF
62,Asma Gharbi,client62@mail.tn,+21697878299,1991-01-05,"135 Rue 30, Sfax",STAR-000062,HABITATION,2010,4861.41,EMPLOYE,VEUF,84,POSITIF
63,Ali Gargouri,client63@mail.tn,+21691602286,1976-06-20,"161 Rue 46, Ariana",STAR-000063,VIE,2002,4083.64,ENSEIGNANT,VEUF,100,POSITIF
64,Bilel Nasri,client64@mail.tn,+21661941524,1974-12-03,"178 Rue 20, Sousse",STAR-000064,SANTE,2024,2948.01,EMPLOYE,VEUF,49,NEUTRE
65,Houda Mejri,client65@mail.tn,+21695040453,1987-03-08,"21 Rue 40, Sousse",STAR-000065,HABITATION,2021,2648.21,CHAUFFEUR,CELIBATAIRE,61,NEUTRE
66,Hela Gharbi,client66@mail.tn,+21666797629,1974-08-21,"174 Rue 35, Bizerte",STAR-000066,VOYAGE,2021,429.79,ETUDIANT,VEUF,6,NEGATIF
67,Radhia Laabidi,client67@mail.tn,+21695953150,2004-05-15,"98 Rue 37, Monastir",STAR-000067,VOYAGE,2012,299.61,AUTRE,MARIE,38,NEGATIF
68,Fethi Bardi,client68@mail.tn,+21664189885,1977-01-19,"199 Rue 15, Bizerte",STAR-000068,VIE,2001,6559.03,INFORMATICIEN,VEUF,100,POSITIF
69,Salma Saidi,client69@mail.tn,+21667970985,2000-02-21,"34 Rue 6, Zaghouan",STAR-000069,VIE,2014,1756.25,ETUDIANT,DIVORCE,63,NEUTRE
70,Sami Saidi,client70@mail.tn,+21698857296,1994-06-17,"76 Rue 48, Mateur",STAR-000070,HABITATION,2005,4653.95,MEDECIN,VEUF,100,POSITIF
71,Youssef Khalsi,client71@mail.tn,+21698630043,2003-12-22,"102 Rue 1, Mateur",STAR-000071,SANTE,2017,2921.45,ENSEIGNANT,MARIE,72,POSITIF
72,Salma Fehri,client72@mail.tn,+21694713925,1997-07-27,"159 Rue 36, Tunis",STAR-000072,VIE,2003,7611.9,INGENIEUR,VEUF,100,POSITIF
73,Khaled Tlili,client73@mail.tn,+21693276065,2004-05-21,"30 Rue 7, Manouba",STAR-000073,SANTE,2001,880.02,ETUDIANT,DIVORCE,61,NEUTRE
74,Wafa Mejri,client74@mail.tn,+21695693260,2002-12-23,"26 Rue 32, Hammam-Lif",STAR-000074,HABITATION,2023,2676.51,CHAUFFEUR,VEUF,49,NEUTRE
75,Aymen Mejri,client75@mail.tn,+21698628891,1973-08-15,"102 Rue 18, Tunis",STAR-000075,AUTO,2003,1768.72,ENSEIGNANT,DIVORCE,82,POSITIF
76,Wissem Turki,client76@mail.tn,+21694475523,2001-11-20,"145 Rue 14, Mateur",STAR-000076,RC,2010,235.4,INGENIEUR,CELIBATAIRE,22,NEGATIF
77,Fethi Khalsi,client77@mail.tn,+21667010308,1981-03-26,"45 Rue 8, Mateur",STAR-000077,HABITATION,2004,1011.34,CHAUFFEUR,DIVORCE,69,NEUTRE
78,Bassem Sfar,client78@mail.tn,+21699610704,1961-03-09,"17 Rue 31, Zaghouan",STAR-000078,RC,2013,288.73,RETRAITE,MARIE,50,NEUTRE
79,Fares Elloumi,client79@mail.tn,+21697738019,1974-10-02,"165 Rue 2, Manouba",STAR-000079,VIE,2021,6590.98,RETRAITE,DIVORCE,77,POSITIF
80,Salma Hamdi,client80@mail.tn,+21669901266,1991-12-15,"33 Rue 18, Sfax",STAR-000080,RC,2010,829.49,INFORMATICIEN,CELIBATAIRE,55,NEUTRE
81,Wafa Elloumi,client81@mail.tn,+21668608449,1998-07-04,"116 Rue 15, Nabeul",STAR-000081,VIE,2020,2243.69,RETRAITE,CELIBATAIRE,92,POSITIF
82,Rim Hamdi,client82@mail.tn,+21667251976,1980-07-11,"22 Rue 6, Sfax",STAR-000082,VIE,2004,3156.78,AUTRE,MARIE,100,POSITIF
83,Maher Chaabane,client83@mail.tn,+21669512969,1997-09-18,"14 Rue 19, Zaghouan",STAR-000083,VOYAGE,2013,535.01,ENSEIGNANT,VEUF,42,NEUTRE
84,Youssef Gargouri,client84@mail.tn,+21695487028,1974-02-12,"110 Rue 36, Mateur",STAR-000084,HABITATION,2024,2470.24,MEDECIN,CELIBATAIRE,65,NEUTRE
85,Karim Belhaj,client85@mail.tn,+21669900022,2004-05-11,"37 Rue 48, Sfax",STAR-000085,VOYAGE,2004,203.05,INFORMATICIEN,VEUF,37,NEGATIF
86,Hedi Chebbi,client86@mail.tn,+21695565128,1989-06-06,"40 Rue 11, Tunis",STAR-000086,VOYAGE,2010,355.82,INFORMATICIEN,MARIE,46,NEUTRE
87,Salma Laabidi,client87@mail.tn,+21699164342,1991-10-15,"111 Rue 8, Ariana",STAR-000087,SANTE,2024,1255.6,RETRAITE,MARIE,60,NEUTRE
88,Amira Khalsi,client88@mail.tn,+21668225192,1985-10-02,"84 Rue 8, Bizerte",STAR-000088,RC,2006,343.1,CHAUFFEUR,DIVORCE,24,NEGATIF
89,Youssef Ouali,client89@mail.tn,+21662306317,1994-12-08,"190 Rue 3, Nabeul",STAR-000089,HABITATION,2021,3234.89,ENSEIGNANT,MARIE,79,POSITIF
90,Hajer Laabidi,client90@mail.tn,+21697070880,1996-07-23,"44 Rue 40, Ariana",STAR-000090,VIE,2003,4215.01,COMMERCANT,MARIE,100,POSITIF
91,Slim Hamdi,client91@mail.tn,+21662913049,1975-07-19,"86 Rue 50, Monastir",STAR-000091,SANTE,2012,1857.51,MEDECIN,DIVORCE,75,POSITIF
92,Mounir Haddad,client92@mail.tn,+21692264218,1982-12-27,"51 Rue 12, Bizerte",STAR-000092,VIE,2007,6797.74,EMPLOYE,CELIBATAIRE,100,POSITIF
93,Skander Bouaziz,client93@mail.tn,+21668419020,1989-10-25,"81 Rue 10, Hammam-Lif",STAR-000093,HABITATION,2018,2795.62,INFORMATICIEN,DIVORCE,92,POSITIF
94,Manel Belhaj,client94@mail.tn,+21692514923,1997-01-12,"95 Rue 19, Tunis",STAR-000094,HABITATION,2014,1296.76,AUTRE,MARIE,74,POSITIF
95,Wafa Boughanmi,client95@mail.tn,+21692414808,1988-10-21,"116 Rue 7, Tunis",STAR-000095,AUTO,2015,914.44,RETRAITE,CELIBATAIRE,71,POSITIF
96,Ahmed Rekik,client96@mail.tn,+21691878547,2005-08-15,"100 Rue 27, Bizerte",STAR-000096,HABITATION,2005,3090.99,ENSEIGNANT,DIVORCE,91,POSITIF
97,Sarra Abidi,client97@mail.tn,+21696204824,1966-09-22,"21 Rue 38, Ariana",STAR-000097,SANTE,2023,1281.95,INFORMATICIEN,CELIBATAIRE,59,NEUTRE
98,Nour Jebali,client98@mail.tn,+21667083379,1979-09-13,"172 Rue 28, Hammam-Lif",STAR-000098,VIE,2004,6645.8,RETRAITE,MARIE,100,POSITIF
99,Rania Turki,client99@mail.tn,+21666649968,1981-08-07,"26 Rue 33, Mateur",STAR-000099,AUTO,2004,1999.96,EMPLOYE,DIVORCE,83,POSITIF
100,Lotfi Ouali,client100@mail.tn,+21695780297,1969-03-06,"94 Rue 44, Nabeul",STAR-000100,VIE,2005,6512.14,AUTRE,MARIE,100,POSITIF
101,Mariem Rekik,client101@mail.tn,+21698023963,1979-08-27,"73 Rue 50, Mateur",STAR-000101,AUTO,2018,988.55,AUTRE,VEUF,59,NEUTRE
102,Fethi Dridi,client102@mail.tn,+21663689594,1998-03-28,"133 Rue 8, Zaghouan",STAR-000102,VOYAGE,2015,226.09,ENSEIGNANT,MARIE,50,NEUTRE
103,Wafa Elloumi,client103@mail.tn,+21662369112,1969-07-03,"102 Rue 33, Tunis",STAR-000103,AUTO,2011,1706.73,ETUDIANT,VEUF,62,NEUTRE
104,Mariem Trabelsi,client104@mail.tn,+21698870361,1980-02-27,"121 Rue 45, Bizerte",STAR-000104,VIE,2004,5724.74,CHAUFFEUR,MARIE,100,POSITIF
105,Emna Ben Ali,client105@mail.tn,+21661801102,1965-01-09,"199 Rue 19, Sfax",STAR-000105,AUTO,2017,1735.94,INFORMATICIEN,VEUF,67,NEUTRE
106,Slim Tlili,client106@mail.tn,+21666919270,1964-02-27,"37 Rue 19, Zaghouan",STAR-000106,SANTE,2000,2032.17,RETRAITE,CELIBATAIRE,100,POSITIF
107,Bassem Chebbi,client107@mail.tn,+21695255545,1971-11-22,"121 Rue 3, Nabeul",STAR-000107,RC,2011,566.44,EMPLOYE,MARIE,44,NEUTRE
108,Rami Mansour,client108@mail.tn,+21693937508,1982-04-24,"12 Rue 23, Sousse",STAR-000108,VIE,2024,5583.67,INFORMATICIEN,DIVORCE,90,POSITIF
109,Yosra Gargouri,client109@mail.tn,+21696294819,2000-03-26,"52 Rue 3, Bizerte",STAR-000109,AUTO,2024,500.96,AUTRE,MARIE,23,NEGATIF
110,Nadia Bardi,client110@mail.tn,+21667174337,1994-08-09,"13 Rue 42, Mateur",STAR-000110,RC,2006,727.3,MEDECIN,DIVORCE,50,NEUTRE
111,Afef Bardi,client111@mail.tn,+21664027557,1988-07-11,"22 Rue 47, Mateur",STAR-000111,AUTO,2015,1193.93,ENSEIGNANT,DIVORCE,74,POSITIF
112,Amel Hamdi,client112@mail.tn,+21666914963,1965-06-22,"114 Rue 23, Zaghouan",STAR-000112,VOYAGE,2019,353.25,COMMERCANT,CELIBATAIRE,44,NEUTRE
113,Dhouha Chaabane,client113@mail.tn,+21662127988,1964-11-21,"156 Rue 44, Sousse",STAR-000113,SANTE,2023,1471.95,CHAUFFEUR,MARIE,58,NEUTRE
114,Skander Mejri,client114@mail.tn,+21699882862,1983-07-19,"114 Rue 49, Ariana",STAR-000114,RC,2021,623.57,AUTRE,DIVORCE,4,NEGATIF
115,Asma Sfar,client115@mail.tn,+21694599894,2001-05-08,"31 Rue 17, Ben Arous",STAR-000115,RC,2005,218.14,AUTRE,VEUF,27,NEGATIF
116,Yosra Bouaziz,client116@mail.tn,+21695871470,1972-02-05,"175 Rue 21, Mateur",STAR-000116,RC,2022,516.43,AUTRE,MARIE,23,NEGATIF
117,Sonia Mrabet,client117@mail.tn,+21691440972,2005-12-23,"52 Rue 9, Sfax",STAR-000117,VIE,2011,2631.59,RETRAITE,CELIBATAIRE,83,POSITIF
118,Sabrine Mejri,client118@mail.tn,+21667869154,1989-09-05,"185 Rue 31, Zaghouan",STAR-000118,HABITATION,2002,4536.99,MEDECIN,VEUF,100,POSITIF
119,Youssef Sfar,client119@mail.tn,+21691929673,2001-02-15,"34 Rue 28, Mateur",STAR-000119,SANTE,2011,2232.26,CHAUFFEUR,CELIBATAIRE,70,POSITIF
120,Hatem Gharbi,client120@mail.tn,+21666080553,1979-03-06,"65 Rue 13, Sfax",STAR-000120,VOYAGE,2007,667.37,ENSEIGNANT,DIVORCE,54,NEUTRE
121,Hatem Mrabet,client121@mail.tn,+21665440189,1997-10-05,"11 Rue 2, La Marsa",STAR-000121,AUTO,2023,1453.97,INFORMATICIEN,DIVORCE,47,NEUTRE
122,Skander Chebbi,client122@mail.tn,+21662224284,1999-11-01,"63 Rue 44, Manouba",STAR-000122,SANTE,2017,2733.59,MEDECIN,DIVORCE,85,POSITIF
123,Karim Mzoughi,client123@mail.tn,+21699639932,1986-08-15,"89 Rue 26, Zaghouan",STAR-000123,AUTO,2004,944.31,ENSEIGNANT,DIVORCE,75,POSITIF
124,Walid Rekik,client124@mail.tn,+21693679315,1989-02-09,"158 Rue 27, Nabeul",STAR-000124,SANTE,2003,1195.01,ETUDIANT,DIVORCE,71,POSITIF
125,Hela Sfar,client125@mail.tn,+21694609524,1972-03-16,"101 Rue 33, Sfax",STAR-000125,HABITATION,2009,2867.26,AUTRE,MARIE,100,POSITIF
126,Amira Chaabane,client126@mail.tn,+21697765480,1978-08-20,"111 Rue 9, Sfax",STAR-000126,VIE,2009,5871.38,RETRAITE,MARIE,100,POSITIF
127,Amira Bardi,client127@mail.tn,+21692993318,1963-10-18,"116 Rue 49, Ben Arous",STAR-000127,AUTO,2009,980.04,EMPLOYE,VEUF,67,NEUTRE
128,Omar Bardi,client128@mail.tn,+21666587495,1983-06-18,"11 Rue 3, Ben Arous",STAR-000128,VOYAGE,2006,577.48,INFORMATICIEN,VEUF,48,NEUTRE
129,Nadia Tlili,client129@mail.tn,+21699511333,1969-10-17,"158 Rue 48, Nabeul",STAR-000129,AUTO,2019,924.75,ENSEIGNANT,CELIBATAIRE,68,NEUTRE
130,Yosra Zouari,client130@mail.tn,+21695454861,1990-01-12,"186 Rue 45, Mateur",STAR-000130,VOYAGE,2013,536.9,INFORMATICIEN,DIVORCE,40,NEUTRE
131,Mehdi Chaabane,client131@mail.tn,+21668399399,1997-08-06,"63 Rue 3, Hammam-Lif",STAR-000131,HABITATION,2019,3516.1,COMMERCANT,CELIBATAIRE,73,POSITIF
132,Rim Gharbi,client132@mail.tn,+21699025733,1986-12-07,"36 Rue 34, Zaghouan",STAR-000132,SANTE,2019,1804.37,AUTRE,MARIE,66,NEUTRE
133,Amel Ayari,client133@mail.tn,+21665993143,1989-09-11,"64 Rue 18, Monastir",STAR-000133,HABITATION,2024,2417.15,MEDECIN,VEUF,71,POSITIF
134,Yosra Turki,client134@mail.tn,+21697619156,2004-12-16,"147 Rue 44, Sfax",STAR-000134,VOYAGE,2017,439.9,MEDECIN,DIVORCE,35,NEGATIF
135,Chiraz Gharbi,client135@mail.tn,+21695557052,1978-01-10,"52 Rue 35, Monastir",STAR-000135,VIE,2014,2013.69,MEDECIN,VEUF,95,POSITIF
136,Omar Rekik,client136@mail.tn,+21663306314,1975-01-22,"85 Rue 46, Nabeul",STAR-000136,HABITATION,2007,1902.69,ETUDIANT,MARIE,89,POSITIF
137,Maher Mrabet,client137@mail.tn,+21694896008,1986-11-16,"166 Rue 4, Bizerte",STAR-000137,SANTE,2024,2161.29,MEDECIN,DIVORCE,62,NEUTRE
138,Zied Ayari,client138@mail.tn,+21696621073,1986-03-02,"77 Rue 37, Tunis",STAR-000138,SANTE,2005,2491.11,MEDECIN,MARIE,98,POSITIF
139,Wafa Hajlaoui,client139@mail.tn,+21691236293,1991-03-28,"188 Rue 30, Sousse",STAR-000139,HABITATION,2006,2872.08,EMPLOYE,DIVORCE,95,POSITIF
140,Manel Nasri,client140@mail.tn,+21694100114,1996-11-25,"84 Rue 6, Ben Arous",STAR-000140,AUTO,2020,680.79,COMMERCANT,VEUF,44,NEUTRE
141,Tarek Sfar,client141@mail.tn,+21667032283,1975-01-09,"150 Rue 47, Bizerte",STAR-000141,SANTE,2024,1165.25,MEDECIN,DIVORCE,50,NEUTRE
142,Ahmed Khelil,client142@mail.tn,+21663240912,1989-05-06,"76 Rue 24, Hammam-Lif",STAR-000142,SANTE,2022,2246.58,MEDECIN,MARIE,72,POSITIF
143,Nour Tlili,client143@mail.tn,+21699861274,1998-06-14,"64 Rue 44, Mateur",STAR-000143,VIE,2015,5070.02,RETRAITE,CELIBATAIRE,98,POSITIF
144,Sarra Khelil,client144@mail.tn,+21699201172,1963-09-17,"114 Rue 8, Ben Arous",STAR-000144,AUTO,2004,1316.32,CHAUFFEUR,DIVORCE,70,POSITIF
145,Mounir Elloumi,client145@mail.tn,+21697642917,1988-01-15,"119 Rue 44, Ben Arous",STAR-000145,AUTO,2014,1221.2,INFORMATICIEN,MARIE,79,POSITIF
146,Lilia Ben Ali,client146@mail.tn,+21663272119,1973-10-03,"121 Rue 3, Sfax",STAR-000146,RC,2022,496.59,EMPLOYE,MARIE,21,NEGATIF
147,Houda Ouali,client147@mail.tn,+21697594429,1988-07-13,"90 Rue 8, Hammam-Lif",STAR-000147,RC,2021,677.91,RETRAITE,CELIBATAIRE,11,NEGATIF
148,Mehdi Khalsi,client148@mail.tn,+21664162177,1960-01-10,"64 Rue 30, Monastir",STAR-000148,SANTE,2017,2216.4,COMMERCANT,VEUF,78,POSITIF
149,Ahmed Chebbi,client149@mail.tn,+21661742169,1999-01-08,"173 Rue 46, La Marsa",STAR-000149,AUTO,2019,507.67,ETUDIANT,VEUF,25,NEGATIF
150,Wafa Khalsi,client150@mail.tn,+21663403511,1994-04-25,"154 Rue 50, La Marsa",STAR-000150,RC,2009,298.09,INGENIEUR,DIVORCE,40,NEUTRE
151,Slim Zouari,client151@mail.tn,+21696347476,1977-01-18,"89 Rue 42, Tunis",STAR-000151,HABITATION,2005,4518.86,COMMERCANT,VEUF,100,POSITIF
152,Rim Gharbi,client152@mail.tn,+21699891787,1979-07-06,"119 Rue 4, Mateur",STAR-000152,HABITATION,2007,2894.08,MEDECIN,CELIBATAIRE,100,POSITIF
